customer_key;customer;customer_type;phone;address_number;customer_address_1;customer_address_2;customer_address_3;customer_address_4;division;division_name;line_of_business;business_family;business_unit;regional_sales_mgr;search_type;zip_code
10022725;Razorfish Shop;G2;816-455-8733;10022725;1723 Webb Drive;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;30093
10023221;Reveal Supermarket;G2;816-455-8733;10023221;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;66282-2990
10023524;Salias Gigaplace;G2;816-455-8733;10023524;PO Box 1006;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;29633
10013572;GearSource Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10002114;Accel Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10025552;Unison Medistore;G2;816-455-8733;10025552;Order Processing Group;25140 Lahser Road Suite 282;Não informado;Não informado;2;Domestic;Não informado;R3;1;S13;C;48034
10006093;BigJobs Shop;G2;816-455-8733;10006093;PO Box 5364;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S9;C;47716-5364
10002220;ACRON Shop;G3;816-455-8733;10002220;1594 Nicholson Street;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;V2N 1V6
10024003;Scientific Supermarket;G2;816-455-8733;10024003;Attention:  Accounts Payable;5500 East Second Street 2nd Floor;Não informado;Não informado;2;Domestic;Não informado;R2;1;S3;C;94510-1020
10021175;Pacific Supermarket;G2;816-455-8733;10021175;PO Box 5418;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;37602-5418
10022730;RC Shop;G2;816-455-8733;10022730;21533 Mound Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S9;C;48091-2991
10024246;Siemens Supermarket;G2;816-455-8733;10024246;580 Waterman Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;2914
10025247;Telesat Supermarket;G2;816-455-8733;10025247;390 Fountain Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;15238
10007117;Bre-X Shop;G1;816-455-8733;10007117;8F No.19 Chang Chun Road;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;104
10026078;Venred Shop;G2;816-455-8733;10026078;PO Box 461090;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;44146
10007536;Calypso Maxi Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S5;C;""
10017314;Idyllwild Shop;G2;816-455-8733;10017314;8901 Montana Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S14;C;79925
10003554;Ad Supermarket;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10011997;Fibronics Shop;G2;816-455-8733;10011997;2177 Dale Avenue SE;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;24013
10023447;RKS Shop;G2;816-455-8733;10023447;Attention:  Accounts Payable;1624 North 71st East Avenue;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;74115
10026299;Watcom Maxistore;G2;816-455-8733;10026299;334 North Hall Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;75226
10025758;UTStarGate Shop;G2;816-455-8733;10025758;4532 Enterprise Drive;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;73128
10021736;Patton Store;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10002501;Action Supermarket;G1;816-455-8733;10002501;Não informado;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S19;C;Não informado
10000488;ABI Supermarket;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10022678;Rave Supermarket;G2;816-455-8733;10022678;PO Box 24217;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;23224
10014804;HCS Shop;G2;816-455-8733;10014804;Attention: Ann Borden;PO Box 31435;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;71130
10025392;Ultimate Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10011734;Felidae Enterprises;G2;816-455-8733;10011734;PO Box 19858 Station N;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;30325-0858
10011089;Embedded Supermarket;G3;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S8;C;""
10020247;MAXSTRAT Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S5;C;""
10025024;Talarians;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;O2;1;S12;C;""
10021270;Page Market;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10006919;Hoovey SuperStore;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10018129;J.M. Market;G1;816-455-8733;10018129;Rue Champion;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;Não informado
10025061;Target Store;G2;816-455-8733;10025061;PO Box 80509;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S9;C;44708
10027572;ZipLip.Com Shop;G2;816-455-8733;10027572;2210 Bowen Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;14059
10019512;Kim Market;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10018868;Karickal Store;G1;816-455-8733;10018868;PO Box 871 Safat;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;Não informado
10025049;Tao Store;G2;816-455-8733;10025049;13270 SE Pheasant Court;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;97222
10009676;Pereras;G2;816-455-8733;10009676;167 East Kalamazoo Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;49007
10025771;VA Supermarket;G2;816-455-8733;10025771;Southern Maryland 4 X 4 Inc;2588 Old Washington Road;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;20601
10024915;Systems Store;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S16;C;""
10010855;ECI Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10022450;R2J2 Shop;G2;816-455-8733;10022450;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;66282-2990
10002155;ACES Supermarket;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S18;C;""
10010886;EDGE Supermarket;G2;816-455-8733;10010886;522 Montana Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S11;C;59923
10020306;McGraw-Hill Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10023509;Safetynet Shop;G2;816-455-8733;10023509;513 West Waters Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;33604
10025239;Teamaker Shop;G2;816-455-8733;10025239;Não informado;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S16;C;Não informado
10025251;Time Supermarket;G2;816-455-8733;10025251;A Scott Fetzer Company;3201 West Old Lincoln Way;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;44691
10020962;Output Supermarket;G2;816-455-8733;10020962;7320 West Market Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;16137
10025558;Unisys Shop;G2;816-455-8733;10025558;6104 Young Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;72209
10006836;Biz-comm Shop;G1;816-455-8733;10006836;AV 6 DE DICIEMBRE;N47225 Y Samuel Fritz;Não informado;Não informado;1;International;M1;R3;1;S16;C;Não informado
10023241;Revnet Market;G2;816-455-8733;10023241;7700 Counts Massie Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S11;C;72113
10012425;Fins Shop;G2;816-455-8733;10012425;RR1 Box 9;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S4;C;56744
10025037;Tampere Shop;G2;816-455-8733;10025037;725 North Twin Oaks Valley Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S4;C;92069
10025248;Telus Store;G2;816-455-8733;10025248;730 North Central;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;98032
10011600;FCS Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S5;C;""
10014047;Gulf Market;G2;816-455-8733;10014047;1510 Merced Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S4;C;93706
10022470;Racal Store;G2;816-455-8733;10022470;Attention: Linda;100 Business Center Drive;Não informado;Não informado;2;Domestic;Não informado;R3;1;S5;C;32176
10012128;Fifth Supermarket;G3;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S5;C;""
10025040;Tangent Shop;G2;816-455-8733;10025040;6127 San Pedro Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;78216
10021470;Papyrus Supermarket;G2;816-455-8733;10021470;815 Hellam Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;17368
10002709;Active Store;G2;816-455-8733;10002709;PO Box 99;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;97321
10002149;AccuLAN Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;I;""
10027053;YourFuture Shop;G2;816-455-8733;10027053;PO Box 68;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S9;C;62977-0068
10022240;Quantum Supermarket;G3;816-455-8733;10022240;1665 Shawson Drive;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;L4W 1T7
10016858;IBVA Shop;G2;816-455-8733;10016858;6590 SW Fallbrook Place;(Commercial Industrial);Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;97008
10009156;Carden Supermarket;G2;816-455-8733;10009156;DBA Badlands Off Road Park;3968 North Xavier Road;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;47918
10022201;Quantum Shop;G1;816-455-8733;10022201;Av Blandin Chacao;Não informado;Não informado;Não informado;1;International;M1;R3;1;S16;C;Não informado
10011360;Equitable Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S5;C;""
10000458;A&R Market;G2;816-455-8733;10000458;PO Box 840;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S9;C;48606
10013127;Garbee Supermarket;G3;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S5;C;""
10002139;Accrue Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R1;1;S11;C;""
10025051;Taos Supermarket;G2;816-455-8733;10025051;1301 East 64th Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;99518
10025267;Todd Supermarket;G3;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S5;C;""
10024930;T3West Shop;G3;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S8;C;""
10009606;Champs Gigaplace;G1;816-455-8733;10009606;PO Box 105;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;3136
10008638;CAPTA Shop;G2;816-455-8733;10008638;301 Iddings Street;PO Box 865;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;16853
10025023;TAL Store;G3;816-455-8733;10025023;815 Circle Drive East;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;S7K 3S4
10021158;Pacific Supermarket;G3;816-455-8733;10021158;#9 - 19257 Enterprise Way;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S17;C;V35-6J8
10021380;Pangaea Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S9;C;""
10004255;Bendix Store;G1;816-455-8733;10004255;3F Shinwoo Building;195-12 Poi-Dong Kangnam-KU;Não informado;Não informado;1;International;M1;R3;1;S19;C;135-260
10019952;Lobster Market;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;O2;1;S12;C;""
10022456;Ra Maxistore;G2;816-455-8733;10022456;3340 A Sunrise Boulevard;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;95742-7316
10006862;BL Supermarket;G2;816-455-8733;10006862;4410 Highway 80 East;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;39209
10010887;Edia Shop;G3;816-455-8733;10010887;9605 56th Avenue;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;T6E 0B2
10015325;Helius Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S5;C;""
10020446;NACSCORP Shop;G2;816-455-8733;10020446;Worldwide Purchasing;1999 Center Point Parkway;Mail Code 483-550-200;Não informado;2;Domestic;Não informado;R2;1;S5;C;48341
10010865;ECS Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10005099;BF Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10025025;Taligent Midstore;G2;816-455-8733;10025025;2402 West Valley Highway North;Não informado;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;98001
10020849;OnDeck Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10025158;Taskers Supermarket;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10018877;KAT Store;G1;816-455-8733;10018877;Dagher Plast Building 17;Baizoob Area;Não informado;Não informado;1;International;M1;R3;1;S17;C;Não informado
10026560;Xentec Shop;G2;816-455-8733;10026560;Central Accounting Service;PO Box 6005;Não informado;Não informado;2;Domestic;Não informado;O2;1;S12;C;48121
10021494;Paraclipse Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10026532;Xediom Shop;G2;816-455-8733;10026532;500 Highway 18 West;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;50438
10013426;GDC Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10025249;Texasgulf Market;G2;816-455-8733;10025249;7221 Highway 64;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S11;C;38133
10020390;Miles Supermarket;G2;816-455-8733;10020390;16241 South Us 27;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;48906
10022168;QualServe Shop;G2;816-455-8733;10022168;PO Box 113;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S11;C;48726
10023780;SAT-SAGEM Supermarket;G1;816-455-8733;10023780;Av Eusebio Ayala 3321;Não informado;Não informado;Não informado;1;International;M1;R3;1;S16;C;33126-1214
10012600;FireTrans Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S4;C;""
10002128;Access Store;G1;816-455-8733;"";"";"";"";"";1;International;M1;R3;1;S19;C;""
10020445;N.Graphics Shop;G2;816-455-8733;10020445;PO Box 80;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;57709
10005236;BH Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10000461;A1 Store;G3;816-455-8733;10000461;1391 Gay Lussac;Não informado;Não informado;Não informado;1;International;Não informado;R1;1;S2;C;J4B 7K1
10025300;U.S. Market;G2;816-455-8733;10025300;Attention: Paul Grady;105 Montauk Highway;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;11796
10026861;Xyplex Shop;G2;816-455-8733;10026861;2280 South State Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;84115
10027119;Yurie Market;G2;816-455-8733;10027119;Não informado;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S16;C;Não informado
10007566;Cambio Shop;G2;816-455-8733;10007566;2106 South Riverside Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S9;C;64507-9799
10020715;Old Store;G1;816-455-8733;10020715;Avda 10 De Mayo S/N;Não informado;Não informado;Não informado;1;International;Não informado;O2;1;S1;C;23700
10007120;Brinco Store;G2;816-455-8733;10007120;DBA Pronto Jobbers Warehouse;PO Box 409;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;83440
10010698;Earth Shop;G2;816-455-8733;10010698;17010 S Main Street;PO Box 88;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;90248
10016549;Home Store;G2;816-455-8733;10016549;PO Box 6307;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;32236
10013061;Gammel Group;G3;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S5;C;""
10010832;?change Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S11;C;""
10025814;Valpatken Shop;G2;816-455-8733;10025814;5300 Glenmont Drive;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;77081
10011398;Ethyl Store;G2;816-455-8733;10011398;1942 W 11th Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;97402-3519
10016807;Ibis Shop;G2;816-455-8733;10016807;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;66282-2990
10020413;Molson Store;G2;816-455-8733;10020413;PO Box 447;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;73762
10010935;Edna Megaplace;G2;816-455-8733;10010935;877 1st Avenue NW;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;51250
10019664;Koppers Supermarket;G2;816-455-8733;10019664;PO BOX 8808;C/O APSS;Dept. 551;Não informado;2;Domestic;Não informado;R1;1;S20;C;61266-8808
10006983;Brentano's Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;O1;1;S5;C;""
10027356;Zero Market;G2;816-455-8733;10027356;910 North East 4th Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;55744
10012761;G.R. Supermarket;G1;816-455-8733;10012761;Av 6A Norte 25 N 43;Não informado;Não informado;Não informado;1;International;M1;R3;1;S16;C;Não informado
10020864;One Store;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S1;C;""
10025052;Target Gigstore;G1;816-455-8733;10025052;150-3 Chilkei-Dong;Não informado;Não informado;Não informado;1;International;Não informado;O2;1;S1;C;459-050
10023003;Remedy Shop;G2;816-455-8733;10023003;400 Jay Street;Não informado;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;49036
10024743;Stone Supermarket;G2;816-455-8733;10024743;907 Cole Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;98022
10015275;Helios Shop;G2;816-455-8733;10015275;1601 East 29th Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;54449
10023275;RFI Superstore;G2;816-455-8733;10023275;PO Box 30659;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S3;C;97294
10022687;Ravenwerks Shop;G3;816-455-8733;10022687;5325 Still Creek Road;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;V2X 3K6
10006848;BizNet Supermarket;G2;816-455-8733;10006848;1101A Potomac Avenue;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;22405
10000486;Aberdeen Shop;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S14;C;""
10027381;Zero-Knowledge Supermarket;G2;816-455-8733;10027381;2649 R W Johnson Boulevard;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;98512
10019897;Livermore Store;G2;816-455-8733;10019897;7210 Gateway East;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;79915
10019909;LiveWORLD Shop;G2;816-455-8733;10019909;500 Airport Drive;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;54166
10021977;Pinnacle Store;G2;816-455-8733;10021977;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;66282-2990
10011842;Fentek Market;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S16;C;""
10010974;EDS Shop;G2;816-455-8733;10010974;13296 County Highway 00;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S9;C;54729
10026291;Warsun Supermarket;G2;816-455-8733;10026291;1880 N Westwood;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;63901
10027560;Zilog Shop;G2;816-455-8733;10027560;3356 Kermit Highway;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S1;C;79764
10012715;Fokas Midstore;G2;816-455-8733;10012715;44 Tunkhannock Avenue;Não informado;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;18643
10025287;TransCanada Store;G2;816-455-8733;10025287;PO Box 366;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;53008
10002244;ACS Market;G2;816-455-8733;10002244;Spicer Clark - Hurth Off Highway Div;1293 Glenway Drive;Não informado;Não informado;2;Domestic;Não informado;O2;1;S12;C;28625
10000481;Abbott Shop;G2;816-455-8733;10000481;Box 5516;Não informado;Não informado;Não informado;2;Domestic;Não informado;R2;1;S5;C;60680
10026355;We Market;G2;816-455-8733;10026355;1275 North 6 Mile Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S3;C;82604
10021472;Parabole Shop;G3;816-455-8733;10021472;9475 192 Street;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;V3T 4W2
10016303;HMR Shop;G2;816-455-8733;10016303;60 Depot Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S20;C;14206
10009652;Dci Shop;G3;816-455-8733;10009652;550 Du Parc Boulevard;Não informado;Não informado;Não informado;1;International;Não informado;R1;1;S21;C;J0E 2L0
10025252;Times Store;G2;816-455-8733;10025252;PO Box 4405;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;46514
10016609;Homestead Market;G3;816-455-8733;10016609;Unicity Distribution Systems;1445 Church Avenue;Não informado;Não informado;1;International;Não informado;R1;1;S21;C;R2X 2X9
10021415;Pantech Supermarket;G2;816-455-8733;10021415;100 Gasoline Alley  Suite A;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;46222
10009650;Dayton Store;G1;816-455-8733;10009650;Plaza Venezuela 1413-1425;Não informado;Não informado;Não informado;1;International;M1;R3;1;S16;C;Não informado
10026606;Xilinix Midstore;G2;816-455-8733;10026606;Central Accounting Service;PO Box 6005;Não informado;Não informado;2;Domestic;Não informado;O2;1;S12;C;48121
10002506;ActionWorld Shop;G2;816-455-8733;10002506;Attention: Doris Nielson;PO Box 26005;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;84126
10009672;DEAC Shop;G2;816-455-8733;10009672;Attention: Accounts Payable;PO Box 21502;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;85036
10011732;Federated Supermarket;G2;816-455-8733;10011732;Não informado;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S16;C;Não informado
10025285;Transalta Store;G2;816-455-8733;10025285;2401 East 31st Street;PO Box 72638;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;37407
10023513;Sagent Shop;G2;816-455-8733;10023513;640 N Eldorado Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;95205
10023511;Sage Supermarket;G1;816-455-8733;10023511;Bellsingel 2 1119NV;Não informado;Não informado;Não informado;1;International;Não informado;R1;1;S13;C;Não informado
10007591;ComeStore;G1;816-455-8733;10007591;Hiekkakiventie 7;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;710
10025467;Underwriters Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10019514;Kimball Supermarket;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R2;1;S4;C;""
10009669;De Store;G2;816-455-8733;10009669;Não informado;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S14;C;Não informado
10025515;UniPress Shop;G2;816-455-8733;10025515;3650 Bay Street;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S20;C;39213
10025575;United Market;G3;816-455-8733;10025575;PO Box 640;Não informado;Não informado;Não informado;1;International;Não informado;R3;1;S5;C;L0R 1B0
10005006;Betacorp Shop;G2;816-455-8733;10005006;601 East Gowen Road;Não informado;Não informado;Não informado;2;Domestic;Não informado;R1;1;S11;C;83716
10003857;Beckman Market;G2;816-455-8733;"";"";"";"";"";1;International;Não informado;R3;1;S1;C;""
10004256;Benedict Shop;G2;816-455-8733;10004256;PO Box 20505;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S16;C;97294
10023715;Diss Gigastore;G2;816-455-8733;10023715;Central Division;PO BOX 600;Não informado;Não informado;2;Domestic;M1;R3;1;S16;C;46168-0600
10017054;Icon Market;G2;816-455-8733;10017054;7640 North Telegraph;Não informado;Não informado;Não informado;2;Domestic;Não informado;R3;1;S1;C;O
10013011;Gamacles Shop;G1;816-455-8733;10013011;Vagnhofda 23;Não informado;Não informado;Não informado;1;International;M1;R3;1;S19;C;Não informado
