city;country;state;region_code;region_name
Flint;US;MI;4;Central
Surrey;CA;BC;0;Canada
Rancho Cordova;US;CA;1;Western
Boucherville;CA;QU;0;Canada
Medford;US;MA;3;Northeast
Seocho-GU;AU;Não informado;5;International
Lennox;US;SD;4;Central
Corona;US;CA;1;Western
Wheatridge;US;CO;1;Western
Columbiana;US;OH;4;Central
New Orleans;US;LA;2;Southern
St Louis;US;MO;4;Central
Rexburg;US;ID;1;Western
Wrightsville;US;PA;3;Northeast
Sparks;US;NV;1;Western
Indianopolis;US;IN;4;Central
Grand Rapids;US;MI;4;Central
Fairmount;US;IN;4;Central
Poplar Bluff;US;MO;4;Central
Nesquehoning;US;PA;3;Northeast
Costa Mesa;US;CA;1;Western
Crestwood;US;IL;4;Central
Laurel;US;MS;2;Southern
Dubai;UK;Não informado;5;International
Hazelwood;US;MO;4;Central
Philadelphia;US;PA;3;Northeast
Van Nuys;US;CA;1;Western
Hermitage;US;PA;3;Northeast
El Paso;US;TX;2;Southern
Springfield;US;MO;4;Central
North Highlands;US;CA;1;Western
Libby;US;MT;1;Western
Miami;US;FL;2;Southern
Saginaw;US;MI;4;Central
Framingham;US;MA;3;Northeast
New Hampton;US;IA;4;Central
Albany;US;OR;1;Western
Bedford Hills;US;NY;3;Northeast
Calgary;CA;AB;0;Canada
Sioux Center;US;IA;4;Central
Des Moines;US;IA;4;Central
Waterville;US;KS;4;Central
Okolona;US;MS;2;Southern
Statesville;US;NC;2;Southern
Columbus;US;OH;4;Central
Canton;US;OH;4;Central
Buda;US;TX;2;Southern
Richmond;US;VA;3;Northeast
Auburn;US;WA;1;Western
Ingersoll;CA;ON;0;Canada
Kanagawa;AU;Não informado;5;International
Fort Macleod;CA;AB;0;Canada
Mentor;US;OH;4;Central
Puyallup;US;WA;1;Western
Furstentum;AU;Não informado;5;International
West Midlands;UK;Não informado;5;International
Highland;US;IL;4;Central
Ocala;US;FL;2;Southern
FIN 00710;UK;Não informado;5;International
Jeddah;AU;Não informado;5;International
Elizabethtown;US;KY;2;Southern
Quito;UK;Não informado;5;International
Clackamas;US;OR;1;Western
Winnepeg;CA;MB;0;Canada
Placentia;US;CA;1;Western
Pomona;US;CA;1;Western
"";"";"";5;International
Odessa;US;TX;2;Southern
Milwaukie;US;WI;4;Central
Sidney;US;NE;4;Central
Santiago;UK;Não informado;5;International
Ft Collins;US;CO;1;Western
Cali;UK;Não informado;5;International
Enumclaw;US;WA;1;Western
Brownsville;US;TX;2;Southern
Hillsboro;US;OR;1;Western
Linares (Jaen);UK;Não informado;5;International
McHenry;US;IL;4;Central
Ruwi;IR;Não informado;5;International
Sollinge Molle;UK;Não informado;5;International
Chattanooga;US;TN;2;Southern
Dover;US;OH;4;Central
Clemson;US;SC;2;Southern
2215 TC Voorhout;IR;Não informado;5;International
Shelby;US;NC;2;Southern
Salt Lake City;US;UT;1;Western
Frederick;US;MD;3;Northeast
Tuscon;US;AZ;1;Western
Garner;US;IA;4;Central
Greenville;US;SC;2;Southern
Memphis;US;TN;2;Southern
Eagan;US;MN;4;Central
Prince George;CA;BC;0;Canada
Dallas;US;TX;2;Southern
Seoul;AU;Não informado;5;International
Somerset;US;NJ;3;Northeast
Calhoun;US;LA;2;Southern
Cleveland;US;MS;2;Southern
Baton Rouge;US;LA;2;Southern
Montreal;CA;QU;0;Canada
Portland;US;OR;1;Western
EE 0026 Tallinn;UK;Não informado;5;International
Atlanta;US;GA;2;Southern
Manassas;US;VA;3;Northeast
Casper;US;WY;1;Western
Depere;US;WI;4;Central
Hamel;US;MN;4;Central
San Jose;UK;Não informado;5;International
MOLINE;US;IL;4;Central
Não informado;UK;Não informado;5;International
SE-132 28 Saltsjo-Boo;AU;Não informado;5;International
Beaverton;US;OR;1;Western
Holden;US;LA;2;Southern
Monroe;US;WI;4;Central
Tigard;US;OR;1;Western
Medford;US;OR;1;Western
Attica;US;IN;4;Central
Cincinnati;US;OH;4;Central
Waldorf;US;MD;3;Northeast
Jakarta Utara;AU;Não informado;5;International
Brookfield;US;WI;4;Central
Duluth;US;GA;2;Southern
Johannesburg;AU;Não informado;5;International
San Antonio;US;TX;2;Southern
Sun Prairie;US;WI;4;Central
Moncton;CA;NB;0;Canada
Goodlettsville;US;TN;2;Southern
Burnaby;CA;BC;0;Canada
Madrid;UK;Não informado;5;International
Appleton;US;WI;4;Central
Mechanicsburg;US;PA;3;Northeast
Springhill;US;LA;2;Southern
Tulsa;US;OK;2;Southern
Lighthorne Warwick;UK;Não informado;5;International
Troy;US;MI;4;Central
Mitchell;US;SD;4;Central
Lewiston;US;ME;3;Northeast
West Point;US;PA;3;Northeast
Anjou;CA;QU;0;Canada
Pine Bluff;US;AR;2;Southern
Petersburg;US;VA;3;Northeast
Olive Branch;US;MS;2;Southern
Fort Worth;US;TX;2;Southern
Schertz;US;TX;2;Southern
Redding;US;CA;1;Western
Hialeah;US;FL;2;Southern
Hayward;US;CA;1;Western
Yakama;US;WA;1;Western
Columbia;US;SC;2;Southern
Colorado Springs;US;CO;1;Western
El Cajon;US;CA;1;Western
South Bend;US;IN;4;Central
00-394 Warsaw;UK;Não informado;5;International
